<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	95327.92	95429.82	94954.86	95045.16	86281	0	30
2025.01.02	95045.14	95126.86	94853.01	94994.35	86400	0	30
2025.01.03	94994.33	95026.71	94653.43	94684.98	86400	0	30
2025.01.04	94684.96	94756.63	94526.96	94551.29	86401	0	30
2025.01.05	94551.27	94640.26	94400.01	94558.61	86217	0	30
2025.01.06	94558.59	94610.83	94306.44	94510.09	86316	0	30
2025.01.07	94510.07	94981.80	94452.36	94948.58	86401	0	30
2025.01.08	94948.56	95010.22	94766.48	94766.48	86400	0	30
2025.01.09	94766.46	95123.63	94611.55	95088.91	86400	0	30
2025.01.10	95088.89	95164.32	94939.91	94967.57	86401	0	30
2025.01.11	94967.55	95210.21	94787.31	95034.25	86400	0	30
2025.01.12	95034.23	95112.59	94699.48	94861.83	86186	0	30
2025.01.13	94861.81	95045.20	94736.42	94745.52	86396	0	30
2025.01.14	94745.50	94850.67	94487.79	94551.03	86401	0	30
2025.01.15	94551.01	94821.12	94540.39	94753.56	86400	0	30
2025.01.16	94753.54	95213.89	94700.34	95151.34	86400	0	30
2025.01.17	95151.32	95459.42	95122.62	95357.76	86398	0	30
2025.01.18	95357.74	95386.24	95003.23	95036.88	86376	0	30
2025.01.19	95036.86	95144.52	94847.94	94931.08	86335	0	30
2025.01.20	94931.06	94958.59	94457.86	94472.92	86289	0	30
2025.01.21	94472.90	94539.57	94309.39	94399.93	86401	0	30
2025.01.22	94399.91	94408.11	94129.73	94345.98	86400	0	30
2025.01.23	94345.96	94653.68	94270.83	94499.43	86400	0	30
2025.01.24	94499.41	94692.11	94405.12	94591.53	86401	0	30
2025.01.25	94591.51	94702.61	94520.12	94597.36	86381	0	30
2025.01.26	94597.34	94607.90	94389.19	94472.54	86335	0	30
2025.01.27	94472.52	94523.73	94353.86	94478.16	86226	0	30
2025.01.28	94478.14	94628.28	94354.79	94494.04	86337	0	30
2025.01.29	94494.02	94847.34	94482.81	94846.48	86400	0	30
2025.01.30	94846.46	95085.44	94813.94	94987.82	86400	0	30
2025.01.31	94987.80	95205.69	94871.26	94958.20	86401	0	30
2025.02.01	94958.18	95022.86	94705.02	94906.51	85766	0	30
2025.02.02	94906.49	95169.84	94888.43	94997.42	86334	0	30
2025.02.03	94997.40	95087.68	94819.30	94940.67	86400	0	30
2025.02.04	94940.65	94995.25	94714.64	94906.98	86401	0	30
2025.02.05	94906.96	94993.43	94745.41	94867.04	86400	0	30
2025.02.06	94867.02	94969.92	94775.07	94867.35	86400	0	30
2025.02.07	94867.33	95117.07	94771.36	94868.51	86400	0	30
2025.02.08	94868.49	94957.83	94561.92	94601.86	86401	0	30
2025.02.09	94601.84	94626.24	94213.04	94331.30	86207	0	30
2025.02.10	94331.28	94380.43	94177.29	94358.94	86401	0	30
2025.02.11	94358.92	94730.92	94331.31	94723.11	86400	0	30
2025.02.12	94723.09	94741.11	94492.72	94575.47	86400	0	30
2025.02.13	94575.45	94641.44	94403.43	94595.89	86400	0	30
2025.02.14	94595.87	95064.01	94569.48	95008.98	86401	0	30
2025.02.15	95008.96	95148.40	94865.64	95084.78	86400	0	30
2025.02.16	95084.76	95217.88	94913.12	95058.67	86257	0	30
2025.02.17	95058.65	95160.70	94935.01	95073.62	86400	0	30
2025.02.18	95073.60	95166.05	94923.18	95022.21	86401	0	30
2025.02.19	95022.19	95022.19	94665.06	94757.66	86308	0	30
2025.02.20	94757.64	94890.12	94664.83	94684.69	86260	0	30
2025.02.21	94684.67	94928.58	94449.74	94867.51	86400	0	30
