"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2025.01.01	00:00:00	94047.11	94102.60	94046.75	94085.32	840	0	52"
"2025.01.01	00:15:00	94085.26	94085.26	94031.32	94031.32	900	0	52"
"2025.01.01	00:30:00	94031.26	94084.17	94029.16	94064.06	900	0	52"
"2025.01.01	00:45:00	94064.00	94064.00	94026.74	94032.20	900	0	52"
"2025.01.01	01:00:00	94032.14	94078.40	94022.48	94055.52	900	0	52"
"2025.01.01	01:15:00	94055.46	94111.38	94046.34	94106.88	900	0	52"
"2025.01.01	01:30:00	94106.82	94106.82	94052.88	94052.88	900	0	52"
"2025.01.01	01:45:00	94052.82	94070.47	94032.37	94059.37	900	0	52"
"2025.01.01	02:00:00	94059.31	94081.09	94038.25	94056.01	900	0	52"
"2025.01.01	02:15:00	94055.95	94092.43	94039.33	94061.83	900	0	52"
"2025.01.01	02:30:00	94061.77	94103.02	94047.07	94100.20	900	0	52"
"2025.01.01	02:45:00	94100.14	94118.93	94066.07	94066.07	900	0	52"
"2025.01.01	03:00:00	94066.01	94079.77	94037.29	94037.29	900	0	52"
"2025.01.01	03:15:00	94037.23	94041.72	93999.06	94011.88	900	0	52"
"2025.01.01	03:30:00	94011.82	94011.82	93984.05	93986.89	900	0	52"
"2025.01.01	03:45:00	93986.83	94042.38	93961.48	94035.18	900	0	52"
"2025.01.01	04:00:00	94035.12	94058.60	94004.64	94051.64	900	0	52"
"2025.01.01	04:15:00	94051.58	94085.82	94032.36	94032.36	900	0	52"
"2025.01.01	04:30:00	94032.30	94032.30	93981.48	93991.25	900	0	52"
"2025.01.01	04:45:00	93991.19	94001.12	93965.48	93980.39	900	0	52"
"2025.01.01	05:00:00	93980.33	94005.72	93954.48	93968.42	900	0	52"
"2025.01.01	05:15:00	93968.36	94086.29	93965.54	94083.23	900	0	52"
"2025.01.01	05:30:00	94083.17	94133.17	94046.51	94129.21	900	0	52"
"2025.01.01	05:45:00	94129.15	94189.84	94123.21	94184.80	900	0	52"
"2025.01.01	06:00:00	94184.74	94188.63	94157.68	94171.47	900	0	52"
"2025.01.01	06:15:00	94171.41	94229.83	94156.41	94227.19	900	0	52"
"2025.01.01	06:30:00	94227.13	94227.13	94185.13	94199.00	900	0	52"
"2025.01.01	06:45:00	94198.94	94198.94	94152.20	94183.54	900	0	52"
"2025.01.01	07:00:00	94183.48	94183.48	94142.56	94142.56	900	0	52"
"2025.01.01	07:15:00	94142.50	94142.50	94102.66	94118.30	900	0	52"
"2025.01.01	07:30:00	94118.24	94177.31	94105.82	94161.47	900	0	52"
"2025.01.01	07:45:00	94161.41	94161.41	94121.01	94121.01	900	0	52"
"2025.01.01	08:00:00	94120.95	94120.95	94081.05	94081.37	900	0	52"
"2025.01.01	08:15:00	94081.31	94081.31	94036.43	94047.69	900	0	52"
"2025.01.01	08:30:00	94047.63	94088.47	94039.70	94066.69	900	0	52"
"2025.01.01	08:45:00	94066.63	94093.32	94056.73	94065.60	900	0	52"
"2025.01.01	09:00:00	94065.54	94092.29	94050.29	94050.29	900	0	52"
"2025.01.01	09:15:00	94050.23	94068.70	94034.35	94034.35	900	0	52"
"2025.01.01	09:30:00	94034.29	94089.32	94026.31	94080.02	900	0	52"
"2025.01.01	09:45:00	94079.96	94142.73	94065.86	94135.59	900	0	52"
"2025.01.01	10:00:00	94135.53	94163.31	94122.87	94122.87	900	0	52"
"2025.01.01	10:15:00	94122.81	94122.81	94080.87	94089.36	900	0	52"
"2025.01.01	10:30:00	94089.30	94089.30	94050.37	94050.37	900	0	52"
"2025.01.01	10:45:00	94050.31	94056.98	94016.05	94037.36	900	0	52"
"2025.01.01	11:00:00	94037.30	94037.30	93983.36	93983.36	900	0	52"
"2025.01.01	11:15:00	93983.30	94000.18	93966.62	93998.62	900	0	52"
"2025.01.01	11:30:00	93998.56	94024.80	93970.98	93970.98	900	0	52"
"2025.01.01	11:45:00	93970.92	94037.04	93968.52	94007.10	900	0	52"
"2025.01.01	12:00:00	94007.04	94028.39	93975.54	94010.69	900	0	52"
"2025.01.01	12:15:00	94010.63	94048.37	93990.83	94045.85	900	0	52"
"2025.01.01	12:30:00	94045.79	94045.79	94010.45	94032.01	900	0	52"
"2025.01.01	12:45:00	94031.95	94031.95	93978.01	93978.01	900	0	52"
"2025.01.01	13:00:00	93977.95	94039.37	93973.57	94022.51	900	0	52"
"2025.01.01	13:15:00	94022.45	94048.53	94001.95	94032.03	900	0	52"
"2025.01.01	13:30:00	94031.97	94076.73	94015.53	94058.49	900	0	52"
"2025.01.01	13:45:00	94058.43	94074.41	94038.39	94056.55	900	0	52"
"2025.01.01	14:00:00	94056.49	94070.54	94020.32	94020.32	900	0	52"
"2025.01.01	14:15:00	94020.26	94032.22	94011.04	94019.07	900	0	52"
"2025.01.01	14:30:00	94019.01	94037.99	94003.65	94018.08	900	0	52"
"2025.01.01	14:45:00	94018.02	94028.23	93976.51	93976.51	900	0	52"
"2025.01.01	15:00:00	93976.45	93987.46	93935.62	93935.62	900	0	52"
"2025.01.01	15:15:00	93935.56	93977.94	93927.22	93975.60	900	0	52"
"2025.01.01	15:30:00	93975.54	94003.54	93960.06	93973.96	900	0	52"
"2025.01.01	15:45:00	93973.90	93973.90	93919.96	93919.96	900	0	52"
"2025.01.01	16:00:00	93919.90	93974.92	93887.44	93974.68	900	0	52"
"2025.01.01	16:15:00	93974.62	93974.62	93938.92	93953.25	900	0	52"
"2025.01.01	16:30:00	93969.38	94013.20	93968.54	93978.09	900	0	52"
"2025.01.01	16:45:00	93978.03	93978.03	93940.11	93947.46	900	0	52"
"2025.01.01	17:00:00	93947.40	93975.82	93946.44	93969.32	900	0	52"
"2025.01.01	17:15:00	93969.26	94010.04	93947.30	94009.68	900	0	52"
"2025.01.01	17:30:00	94009.62	94124.54	94008.24	94103.12	900	0	52"
"2025.01.01	17:45:00	94103.06	94186.11	94095.02	94153.29	900	0	52"
"2025.01.01	18:00:00	94153.23	94230.24	94142.91	94208.70	900	0	52"
"2025.01.01	18:15:00	94208.64	94215.45	94178.85	94178.85	900	0	52"
"2025.01.01	18:30:00	94178.79	94238.39	94133.01	94238.15	900	0	52"
"2025.01.01	18:45:00	94238.09	94270.22	94232.93	94255.22	900	0	52"
"2025.01.01	19:00:00	94255.16	94283.39	94238.78	94282.31	900	0	52"
"2025.01.01	19:15:00	94282.25	94324.12	94274.93	94305.88	900	0	52"
"2025.01.01	19:30:00	94305.82	94467.82	94302.28	94457.74	901	0	52"
"2025.01.01	19:45:00	94457.68	94478.03	94425.95	94425.95	900	0	52"
"2025.01.01	20:00:00	94425.89	94437.03	94412.73	94412.73	900	0	52"
"2025.01.01	20:15:00	94412.67	94460.19	94412.31	94443.22	900	0	52"
"2025.01.01	20:30:00	94443.16	94443.16	94394.38	94421.14	900	0	52"
"2025.01.01	20:45:00	94421.08	94493.25	94408.29	94487.67	900	0	52"
"2025.01.01	21:00:00	94487.61	94506.44	94452.86	94452.86	900	0	52"
"2025.01.01	21:15:00	94452.80	94473.30	94427.88	94427.88	900	0	52"
"2025.01.01	21:30:00	94427.82	94476.05	94423.20	94460.26	900	0	52"
"2025.01.01	21:45:00	94460.20	94460.20	94406.26	94406.26	900	0	52"
"2025.01.01	22:00:00	94406.20	94461.63	94397.80	94458.93	900	0	52"
"2025.01.01	22:15:00	94458.87	94475.97	94435.47	94435.47	900	0	52"
"2025.01.01	22:30:00	94435.41	94463.38	94434.27	94449.78	900	0	52"
"2025.01.01	22:45:00	94449.72	94491.02	94447.86	94479.41	900	0	52"
"2025.01.01	23:00:00	94479.35	94510.30	94468.07	94500.28	900	0	52"
"2025.01.01	23:15:00	94500.22	94575.41	94497.94	94573.01	900	0	52"
"2025.01.01	23:30:00	94572.95	94582.79	94545.95	94545.95	900	0	52"
"2025.01.01	23:45:00	94545.89	94545.89	94495.55	94495.55	840	0	52"
"2025.01.02	00:00:00	94495.49	94541.18	94472.57	94526.12	900	0	52"
"2025.01.02	00:15:00	94526.06	94600.30	94524.92	94595.26	900	0	52"
"2025.01.02	00:30:00	94595.20	94595.20	94541.26	94541.26	900	0	52"
"2025.01.02	00:45:00	94541.20	94549.41	94523.19	94538.72	900	0	52"
"2025.01.02	01:00:00	94538.66	94554.36	94511.64	94535.14	900	0	52"
"2025.01.02	01:15:00	94535.08	94547.08	94519.76	94526.26	900	0	52"
"2025.01.02	01:30:00	94526.20	94542.71	94502.33	94502.33	900	0	52"
"2025.01.02	01:45:00	94502.27	94565.67	94494.94	94535.31	900	0	52"
"2025.01.02	02:00:00	94535.25	94558.78	94514.19	94549.78	900	0	52"
"2025.01.02	02:15:00	94549.72	94576.80	94535.16	94535.16	900	0	52"
"2025.01.02	02:30:00	94535.10	94566.53	94525.02	94539.77	900	0	52"
"2025.01.02	02:45:00	94539.71	94584.39	94534.91	94572.63	900	0	52"
"2025.01.02	03:00:00	94572.57	94592.56	94553.07	94570.54	900	0	52"
"2025.01.02	03:15:00	94570.48	94592.59	94552.90	94570.41	900	0	52"
"2025.01.02	03:30:00	94570.35	94612.30	94568.67	94607.97	900	0	52"
"2025.01.02	03:45:00	94607.91	94607.91	94573.89	94592.23	900	0	52"
"2025.01.02	04:00:00	94592.17	94592.17	94538.23	94538.23	900	0	52"
"2025.01.02	04:15:00	94538.17	94557.28	94513.78	94526.20	900	0	52"
"2025.01.02	04:30:00	94526.14	94592.41	94514.92	94565.83	900	0	52"
"2025.01.02	04:45:00	94565.77	94655.23	94553.47	94646.47	900	0	52"
"2025.01.02	05:00:00	94646.41	94730.56	94642.75	94696.96	900	0	52"
"2025.01.02	05:15:00	94696.90	94712.96	94673.98	94694.54	900	0	52"
"2025.01.02	05:30:00	94694.48	94694.48	94640.54	94640.54	900	0	52"
"2025.01.02	05:45:00	94640.48	94698.80	94631.96	94690.74	900	0	52"
"2025.01.02	06:00:00	94690.68	94693.10	94658.94	94670.96	900	0	52"
"2025.01.02	06:15:00	94670.90	94731.91	94652.30	94729.63	900	0	52"
"2025.01.02	06:30:00	94729.57	94744.96	94699.78	94699.78	900	0	52"
"2025.01.02	06:45:00	94699.72	94721.06	94673.62	94693.28	900	0	52"
"2025.01.02	07:00:00	94693.22	94720.47	94670.91	94670.91	900	0	52"
"2025.01.02	07:15:00	94670.85	94688.94	94650.81	94670.41	900	0	52"
"2025.01.02	07:30:00	94670.35	94670.35	94629.80	94629.80	900	0	52"
"2025.01.02	07:45:00	94629.74	94633.94	94595.18	94614.62	900	0	52"
"2025.01.02	08:00:00	94614.56	94695.84	94611.62	94695.24	900	0	52"
"2025.01.02	08:15:00	94695.18	94744.42	94689.72	94715.56	900	0	52"
"2025.01.02	08:30:00	94715.50	94715.50	94662.82	94676.55	900	0	52"
"2025.01.02	08:45:00	94676.49	94697.41	94657.91	94657.91	900	0	52"
"2025.01.02	09:00:00	94657.85	94657.85	94603.91	94603.91	900	0	52"
"2025.01.02	09:15:00	94603.85	94604.78	94573.64	94573.64	900	0	52"
"2025.01.02	09:30:00	94573.58	94576.44	94548.92	94570.08	900	0	52"
"2025.01.02	09:45:00	94570.02	94665.20	94554.78	94662.08	900	0	52"
"2025.01.02	10:00:00	94662.02	94662.02	94608.08	94608.08	900	0	52"
"2025.01.02	10:15:00	94608.02	94616.19	94571.13	94571.13	900	0	52"
"2025.01.02	10:30:00	94571.07	94571.07	94540.17	94540.17	900	0	52"
"2025.01.02	10:45:00	94540.11	94641.10	94536.57	94606.66	900	0	52"
"2025.01.02	11:00:00	94606.60	94705.51	94598.68	94696.77	900	0	52"
"2025.01.02	11:15:00	94696.71	94709.44	94660.78	94660.78	900	0	52"
"2025.01.02	11:30:00	94660.72	94660.72	94606.78	94606.78	900	0	52"
"2025.01.02	11:45:00	94606.72	94606.72	94563.94	94567.08	900	0	52"
"2025.01.02	12:00:00	94567.02	94567.02	94528.75	94528.75	900	0	52"
"2025.01.02	12:15:00	94528.69	94584.04	94519.33	94560.46	900	0	52"
"2025.01.02	12:30:00	94560.40	94586.63	94535.81	94535.81	900	0	52"
"2025.01.02	12:45:00	94535.75	94660.81	94534.73	94642.45	900	0	52"
"2025.01.02	13:00:00	94642.39	94649.35	94605.19	94605.19	900	0	52"
"2025.01.02	13:15:00	94605.13	94624.43	94574.11	94601.57	900	0	52"
"2025.01.02	13:30:00	94601.51	94688.86	94585.55	94669.18	900	0	52"
"2025.01.02	13:45:00	94669.12	94752.08	94667.26	94744.46	900	0	52"
"2025.01.02	14:00:00	94744.40	94744.40	94692.32	94706.44	900	0	52"
"2025.01.02	14:15:00	94706.38	94748.50	94699.48	94716.40	900	0	52"
"2025.01.02	14:30:00	94716.34	94734.49	94687.78	94711.33	900	0	52"
"2025.01.02	14:45:00	94711.27	94718.91	94674.49	94714.05	900	0	52"
"2025.01.02	15:00:00	94713.99	94729.01	94680.69	94725.05	900	0	52"
"2025.01.02	15:15:00	94724.99	94724.99	94688.09	94692.65	900	0	52"
"2025.01.02	15:30:00	94692.59	94724.03	94688.99	94697.21	900	0	52"
"2025.01.02	15:45:00	94697.15	94730.14	94691.45	94718.34	900	0	52"
"2025.01.02	16:00:00	94718.28	94718.28	94679.53	94679.53	900	0	52"
"2025.01.02	16:15:00	94679.47	94701.42	94670.40	94674.37	900	0	52"
"2025.01.02	16:30:00	94674.31	94734.76	94673.95	94726.90	900	0	52"
"2025.01.02	16:45:00	94726.84	94742.41	94699.69	94699.69	900	0	52"
"2025.01.02	17:00:00	94699.63	94710.53	94661.63	94661.63	900	0	52"
"2025.01.02	17:15:00	94661.57	94725.28	94659.71	94698.76	900	0	52"
"2025.01.02	17:30:00	94698.70	94721.25	94667.92	94716.69	900	0	52"
"2025.01.02	17:45:00	94716.63	94752.41	94710.75	94722.11	900	0	52"
"2025.01.02	18:00:00	94722.05	94754.77	94706.45	94734.62	900	0	52"
"2025.01.02	18:15:00	94734.56	94734.56	94702.04	94706.30	900	0	52"
"2025.01.02	18:30:00	94706.24	94747.85	94687.76	94745.45	900	0	52"
"2025.01.02	18:45:00	94745.39	94760.91	94724.55	94724.55	900	0	52"
"2025.01.02	19:00:00	94724.49	94778.29	94723.59	94735.15	900	0	52"
"2025.01.02	19:15:00	94735.09	94735.09	94681.15	94681.15	900	0	52"
"2025.01.02	19:30:00	94681.09	94681.09	94627.15	94627.15	900	0	52"
"2025.01.02	19:45:00	94627.09	94639.47	94599.69	94620.57	900	0	52"
"2025.01.02	20:00:00	94620.51	94657.91	94604.91	94635.17	900	0	52"
"2025.01.02	20:15:00	94635.11	94635.11	94581.17	94581.17	900	0	52"
"2025.01.02	20:30:00	94581.11	94581.11	94527.17	94527.17	900	0	52"
"2025.01.02	20:45:00	94527.11	94610.66	94526.34	94601.36	900	0	52"
"2025.01.02	21:00:00	94601.30	94624.54	94572.94	94572.94	900	0	52"
"2025.01.02	21:15:00	94572.88	94598.09	94567.61	94567.61	900	0	52"
"2025.01.02	21:30:00	94567.55	94595.51	94536.35	94589.15	900	0	52"
"2025.01.02	21:45:00	94589.09	94589.09	94535.15	94535.15	900	0	52"
"2025.01.02	22:00:00	94535.09	94543.51	94508.29	94508.29	900	0	52"
"2025.01.02	22:15:00	94508.23	94521.78	94486.57	94489.56	900	0	52"
"2025.01.02	22:30:00	94489.50	94560.42	94473.00	94544.40	900	0	52"
"2025.01.02	22:45:00	94544.34	94556.26	94526.40	94542.38	900	0	52"
"2025.01.02	23:00:00	94542.32	94542.32	94521.60	94524.40	900	0	52"
"2025.01.02	23:15:00	94524.34	94561.80	94493.02	94543.92	900	0	52"
"2025.01.02	23:30:00	94543.86	94593.58	94522.68	94577.20	900	0	52"
"2025.01.02	23:45:00	94577.14	94593.59	94565.33	94565.33	900	0	52"
