"<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2025.01.01	94047.11	94582.79	93887.44	94495.55	86281	0	52"
"2025.01.02	94495.49	94778.29	94472.57	94565.33	86400	0	52"
"2025.01.03	94565.27	95533.09	94504.80	95287.52	86400	0	52"
"2025.01.04	95287.46	95314.36	94773.84	95048.00	86401	0	52"
"2025.01.05	95047.94	95120.31	94749.77	94924.17	86217	0	52"
"2025.01.06	94924.11	94971.22	94662.60	94731.65	86316	0	52"
"2025.01.07	94731.59	94731.59	94092.11	94207.57	86401	0	52"
"2025.01.08	94207.51	94795.22	94137.11	94720.43	86400	0	52"
"2025.01.09	94720.37	94983.15	94351.52	94410.24	86400	0	52"
"2025.01.10	94410.18	94410.18	93632.17	93733.41	86401	0	52"
"2025.01.11	93733.35	94584.44	93646.62	93837.58	86400	0	52"
"2025.01.12	93837.52	94290.65	93732.11	94159.00	86186	0	52"
"2025.01.13	94158.94	94383.17	93941.22	94318.49	86396	0	52"
"2025.01.14	94318.43	94352.13	93922.44	93976.83	86401	0	52"
"2025.01.15	93976.77	94409.60	93796.26	94322.04	86400	0	52"
"2025.01.16	94321.98	94399.95	93949.90	93994.81	86400	0	52"
"2025.01.17	93994.75	94808.60	93963.84	94483.63	86398	0	52"
"2025.01.18	94483.57	95214.33	94323.90	95204.87	86376	0	52"
"2025.01.19	95204.81	95502.04	95098.12	95269.42	86335	0	52"
"2025.01.20	95269.36	95297.12	94800.99	95041.93	86289	0	52"
"2025.01.21	95041.87	95164.89	94453.32	94856.06	86401	0	52"
"2025.01.22	94856.00	94933.53	94535.30	94901.19	86400	0	52"
"2025.01.23	94901.13	95207.51	94848.62	94963.93	86400	0	52"
"2025.01.24	94963.87	95657.61	94902.73	95510.80	86401	0	52"
"2025.01.25	95510.74	95552.73	94702.60	95273.55	86381	0	52"
"2025.01.26	95273.49	95422.74	94764.94	94776.17	86335	0	52"
"2025.01.27	94776.11	94911.83	94472.91	94752.02	86227	0	52"
"2025.01.28	94751.96	95102.18	94605.93	94713.32	86337	0	52"
"2025.01.29	94713.26	94818.07	94239.54	94578.17	86400	0	52"
"2025.01.30	94578.11	94795.48	94078.35	94249.17	86400	0	52"
"2025.01.31	94249.11	95131.80	94218.79	95057.71	86401	0	52"
"2025.02.01	95057.65	95652.69	95024.34	95534.45	85766	0	52"
"2025.02.02	95534.39	95736.03	95153.42	95291.07	86334	0	52"
"2025.02.03	95291.01	95737.67	95264.25	95573.81	86400	0	52"
"2025.02.04	95573.75	95767.42	95215.47	95255.25	86401	0	52"
"2025.02.05	95255.19	95413.06	94952.96	95039.13	86400	0	52"
"2025.02.06	95039.07	95313.69	94918.00	95076.37	86400	0	52"
"2025.02.07	95076.31	95485.79	94968.22	95318.11	86400	0	52"
"2025.02.08	95318.05	95847.08	95103.35	95503.15	86401	0	52"
"2025.02.09	95503.09	95880.61	95187.74	95801.42	86207	0	52"
"2025.02.10	95801.36	95868.83	95313.79	95862.77	86401	0	52"
"2025.02.11	95862.71	96277.11	95859.53	95899.78	86400	0	52"
"2025.02.12	95899.72	96108.27	95703.64	96034.73	86400	0	52"
"2025.02.13	96034.67	96091.74	95260.46	95484.58	86400	0	52"
"2025.02.14	95484.52	95962.64	95415.45	95806.90	86401	0	52"
"2025.02.15	95806.84	96087.81	95571.20	95732.34	86400	0	52"
"2025.02.16	95732.28	95900.23	95198.39	95306.63	86257	0	52"
"2025.02.17	95306.57	95491.31	95101.25	95252.68	86400	0	52"
"2025.02.18	95252.62	95422.49	94942.56	95111.11	86401	0	52"
"2025.02.19	95111.05	95152.80	94665.30	94926.59	86308	0	52"
"2025.02.20	94926.53	95064.95	94523.68	94772.33	86260	0	52"
"2025.02.21	94772.27	95456.94	94703.21	95270.54	86400	0	52"
"2025.02.22	95270.48	95661.93	95169.70	95647.18	86400	0	52"
"2025.02.23	95647.12	96445.13	95603.50	96344.07	86338	0	52"
"2025.02.24	96344.01	96436.65	95958.11	96147.84	86401	0	52"
"2025.02.25	96147.78	96219.24	95130.95	95154.33	86400	0	52"
"2025.02.26	95154.27	95190.56	94662.38	94740.97	86400	0	52"
"2025.02.27	94740.91	94845.34	94487.86	94489.08	86400	0	52"
"2025.02.28	94489.02	94761.85	94113.36	94635.07	86401	0	52"
"2025.03.01	94635.01	95637.48	94553.83	95253.10	86400	0	52"
"2025.03.02	95253.04	95689.79	95106.93	95591.12	86256	0	52"
"2025.03.03	95591.06	96034.72	95473.82	95949.30	86400	0	52"
"2025.03.04	95949.24	96645.78	95715.02	96543.89	86401	0	78"
"2025.03.05	96543.83	96900.54	96441.38	96868.94	86345	0	78"
"2025.03.06	96868.88	96868.88	96081.31	96361.65	86273	0	78"
"2025.03.07	96361.59	96593.11	96153.87	96490.48	86401	0	78"
"2025.03.08	96490.42	96707.76	96407.90	96519.57	86400	0	78"
"2025.03.09	96519.51	96879.88	96283.55	96755.54	86338	0	78"
"2025.03.10	96755.48	96856.70	96322.76	96420.00	86400	0	78"
"2025.03.11	96419.94	96572.93	96150.60	96512.56	86401	0	78"
"2025.03.12	96512.50	96608.95	96145.91	96285.18	86400	0	78"
"2025.03.13	96285.12	97049.95	96255.48	97045.81	86400	0	78"
"2025.03.14	97045.75	97045.75	96287.29	96907.12	86400	0	78"
"2025.03.15	96907.06	96925.58	96451.54	96773.52	86360	0	78"
"2025.03.16	96773.46	97287.70	96582.38	97177.66	86360	0	78"
"2025.03.17	97177.60	97368.81	96984.93	97298.61	86400	0	78"
"2025.03.18	97298.55	97957.06	97275.80	97941.98	86400	0	78"
"2025.03.19	97941.92	97968.24	97590.60	97782.55	86382	0	78"
"2025.03.20	97782.49	97979.28	97293.77	97293.77	86401	0	78"
"2025.03.21	97293.71	97919.84	97285.61	97903.16	86282	0	78"
"2025.03.22	97903.10	98418.68	97868.93	98380.14	86400	0	78"
"2025.03.23	98380.08	98706.47	98128.59	98221.45	86010	0	78"
"2025.03.24	98221.39	98629.27	98002.56	98550.45	86245	0	78"
"2025.03.25	98550.39	98607.03	98237.58	98433.04	85641	0	78"
"2025.03.26	98432.98	98479.96	98074.85	98305.73	86400	0	78"
"2025.03.27	98305.67	98489.06	98041.16	98234.78	86401	0	78"
"2025.03.28	98234.72	98736.16	98128.07	98317.09	86400	0	78"
"2025.03.29	98317.03	98400.69	97681.01	97760.39	86400	0	78"
"2025.03.30	97760.33	98586.89	97716.90	98580.11	80188	0	78"
"2025.03.31	98580.05	98798.15	98417.21	98788.31	86400	0	78"
"2025.04.01	98788.25	99074.75	98373.03	99010.71	86400	0	78"
"2025.04.02	99010.65	99231.22	98909.83	99021.61	86401	0	78"
"2025.04.03	99021.55	99561.72	98877.50	99461.01	86400	0	78"
"2025.04.04	99460.95	100133.08	99399.09	99865.98	86400	0	78"
"2025.04.05	99865.92	99878.21	99332.55	99596.53	86400	0	78"
"2025.04.06	99596.47	100026.27	99529.78	99965.19	86338	0	78"
"2025.04.07	99965.13	99970.54	99185.25	99451.84	86400	0	78"
"2025.04.08	99451.78	99690.98	99007.24	99153.88	86400	0	78"
"2025.04.09	99153.82	99337.66	98904.45	98990.04	86400	0	78"
"2025.04.10	98989.98	99867.85	98951.32	99759.46	86401	0	78"
"2025.04.11	99759.40	100072.48	99648.00	99657.60	86316	0	78"
"2025.04.12	99657.54	100418.18	99646.38	100112.03	86400	0	78"
"2025.04.13	100111.97	100370.20	99815.96	100247.15	86248	0	78"
"2025.04.14	100247.09	100392.85	99954.97	100172.06	86400	0	78"
"2025.04.15	100172.00	100267.30	99581.56	99583.44	86281	0	78"
"2025.04.16	99583.38	99904.79	99507.18	99616.92	86399	0	78"
"2025.04.17	99616.86	99686.84	99130.60	99273.42	86280	0	78"
"2025.04.18	99273.36	99691.45	99108.11	99221.19	86400	0	78"
"2025.04.19	99221.13	99422.45	99042.41	99274.55	86400	0	78"
