"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2025.01.01	00:00:00	94047.11	94102.60	94026.74	94032.20	3540	0	52"
"2025.01.01	01:00:00	94032.14	94111.38	94022.48	94059.37	3600	0	52"
"2025.01.01	02:00:00	94059.31	94118.93	94038.25	94066.07	3600	0	52"
"2025.01.01	03:00:00	94066.01	94079.77	93961.48	94035.18	3600	0	52"
"2025.01.01	04:00:00	94035.12	94085.82	93965.48	93980.39	3600	0	52"
"2025.01.01	05:00:00	93980.33	94189.84	93954.48	94184.80	3600	0	52"
"2025.01.01	06:00:00	94184.74	94229.83	94152.20	94183.54	3600	0	52"
"2025.01.01	07:00:00	94183.48	94183.48	94102.66	94121.01	3600	0	52"
"2025.01.01	08:00:00	94120.95	94120.95	94036.43	94065.60	3600	0	52"
"2025.01.01	09:00:00	94065.54	94142.73	94026.31	94135.59	3600	0	52"
"2025.01.01	10:00:00	94135.53	94163.31	94016.05	94037.36	3600	0	52"
"2025.01.01	11:00:00	94037.30	94037.30	93966.62	94007.10	3600	0	52"
"2025.01.01	12:00:00	94007.04	94048.37	93975.54	93978.01	3600	0	52"
"2025.01.01	13:00:00	93977.95	94076.73	93973.57	94056.55	3600	0	52"
"2025.01.01	14:00:00	94056.49	94070.54	93976.51	93976.51	3600	0	52"
"2025.01.01	15:00:00	93976.45	94003.54	93919.96	93919.96	3600	0	52"
"2025.01.01	16:00:00	93919.90	94013.20	93887.44	93947.46	3600	0	52"
"2025.01.01	17:00:00	93947.40	94186.11	93946.44	94153.29	3600	0	52"
"2025.01.01	18:00:00	94153.23	94270.22	94133.01	94255.22	3600	0	52"
"2025.01.01	19:00:00	94255.16	94478.03	94238.78	94425.95	3601	0	52"
"2025.01.01	20:00:00	94425.89	94493.25	94394.38	94487.67	3600	0	52"
"2025.01.01	21:00:00	94487.61	94506.44	94406.26	94406.26	3600	0	52"
"2025.01.01	22:00:00	94406.20	94491.02	94397.80	94479.41	3600	0	52"
"2025.01.01	23:00:00	94479.35	94582.79	94468.07	94495.55	3540	0	52"
"2025.01.02	00:00:00	94495.49	94600.30	94472.57	94538.72	3600	0	52"
"2025.01.02	01:00:00	94538.66	94565.67	94494.94	94535.31	3600	0	52"
"2025.01.02	02:00:00	94535.25	94584.39	94514.19	94572.63	3600	0	52"
"2025.01.02	03:00:00	94572.57	94612.30	94552.90	94592.23	3600	0	52"
"2025.01.02	04:00:00	94592.17	94655.23	94513.78	94646.47	3600	0	52"
"2025.01.02	05:00:00	94646.41	94730.56	94631.96	94690.74	3600	0	52"
"2025.01.02	06:00:00	94690.68	94744.96	94652.30	94693.28	3600	0	52"
"2025.01.02	07:00:00	94693.22	94720.47	94595.18	94614.62	3600	0	52"
"2025.01.02	08:00:00	94614.56	94744.42	94611.62	94657.91	3600	0	52"
"2025.01.02	09:00:00	94657.85	94665.20	94548.92	94662.08	3600	0	52"
"2025.01.02	10:00:00	94662.02	94662.02	94536.57	94606.66	3600	0	52"
"2025.01.02	11:00:00	94606.60	94709.44	94563.94	94567.08	3600	0	52"
"2025.01.02	12:00:00	94567.02	94660.81	94519.33	94642.45	3600	0	52"
"2025.01.02	13:00:00	94642.39	94752.08	94574.11	94744.46	3600	0	52"
"2025.01.02	14:00:00	94744.40	94748.50	94674.49	94714.05	3600	0	52"
"2025.01.02	15:00:00	94713.99	94730.14	94680.69	94718.34	3600	0	52"
"2025.01.02	16:00:00	94718.28	94742.41	94670.40	94699.69	3600	0	52"
"2025.01.02	17:00:00	94699.63	94752.41	94659.71	94722.11	3600	0	52"
"2025.01.02	18:00:00	94722.05	94760.91	94687.76	94724.55	3600	0	52"
"2025.01.02	19:00:00	94724.49	94778.29	94599.69	94620.57	3600	0	52"
"2025.01.02	20:00:00	94620.51	94657.91	94526.34	94601.36	3600	0	52"
"2025.01.02	21:00:00	94601.30	94624.54	94535.15	94535.15	3600	0	52"
"2025.01.02	22:00:00	94535.09	94560.42	94473.00	94542.38	3600	0	52"
"2025.01.02	23:00:00	94542.32	94593.59	94493.02	94565.33	3600	0	52"
"2025.01.03	00:00:00	94565.27	94620.55	94504.80	94605.19	3600	0	52"
"2025.01.03	01:00:00	94605.13	94626.20	94546.33	94617.08	3600	0	52"
"2025.01.03	02:00:00	94617.02	94763.93	94599.50	94750.39	3600	0	52"
"2025.01.03	03:00:00	94750.33	94770.53	94669.77	94677.35	3600	0	52"
"2025.01.03	04:00:00	94677.29	94678.23	94613.40	94613.40	3600	0	52"
"2025.01.03	05:00:00	94613.34	94623.93	94516.85	94594.07	3600	0	52"
"2025.01.03	06:00:00	94594.01	94688.64	94554.23	94622.08	3600	0	52"
"2025.01.03	07:00:00	94622.02	94803.42	94556.54	94795.62	3600	0	52"
"2025.01.03	08:00:00	94795.56	94886.46	94787.77	94787.77	3600	0	52"
"2025.01.03	09:00:00	94787.71	94913.43	94787.59	94866.32	3600	0	52"
"2025.01.03	10:00:00	94866.26	94945.59	94821.31	94899.63	3600	0	52"
"2025.01.03	11:00:00	94899.57	94964.66	94869.99	94877.34	3600	0	52"
"2025.01.03	12:00:00	94877.28	94979.14	94869.84	94960.80	3600	0	52"
"2025.01.03	13:00:00	94960.74	95136.92	94920.78	95136.56	3600	0	52"
"2025.01.03	14:00:00	95136.50	95263.46	95109.14	95192.99	3600	0	52"
"2025.01.03	15:00:00	95192.93	95240.83	95157.40	95218.48	3600	0	52"
"2025.01.03	16:00:00	95218.42	95292.64	95185.23	95281.90	3600	0	52"
"2025.01.03	17:00:00	95281.84	95297.42	95191.28	95191.28	3600	0	52"
"2025.01.03	18:00:00	95191.22	95220.13	95120.47	95178.11	3600	0	52"
"2025.01.03	19:00:00	95178.05	95272.80	95171.49	95239.89	3600	0	52"
"2025.01.03	20:00:00	95239.83	95371.89	95177.73	95353.35	3600	0	52"
"2025.01.03	21:00:00	95353.29	95460.48	95315.31	95453.58	3600	0	52"
"2025.01.03	22:00:00	95453.52	95533.09	95424.30	95427.89	3600	0	52"
"2025.01.03	23:00:00	95427.83	95427.83	95278.69	95287.52	3600	0	52"
"2025.01.04	00:00:00	95287.46	95314.36	95192.09	95309.08	3600	0	52"
"2025.01.04	01:00:00	95309.02	95309.02	95208.93	95240.74	3600	0	52"
"2025.01.04	02:00:00	95240.68	95260.15	95156.35	95171.67	3600	0	52"
"2025.01.04	03:00:00	95171.61	95271.20	95151.20	95210.66	3600	0	52"
"2025.01.04	04:00:00	95210.60	95224.41	95106.08	95122.51	3600	0	52"
"2025.01.04	05:00:00	95122.45	95122.45	95037.48	95037.48	3600	0	52"
"2025.01.04	06:00:00	95037.42	95037.42	94876.89	94876.89	3600	0	52"
"2025.01.04	07:00:00	94876.83	94933.82	94832.29	94928.84	3600	0	52"
"2025.01.04	08:00:00	94928.78	94962.04	94838.63	94854.60	3600	0	52"
"2025.01.04	09:00:00	94854.54	94901.62	94843.64	94871.45	3600	0	52"
"2025.01.04	10:00:00	94871.39	94966.11	94859.75	94902.50	3600	0	52"
