<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	103940.89	104190.24	103926.44	103936.85	14340	0	53
2025.01.01	04:00:00	103936.80	104063.25	103891.12	103980.95	14400	0	53
2025.01.01	08:00:00	103980.90	103980.90	103745.05	103792.66	14400	0	53
2025.01.01	12:00:00	103792.61	103990.06	103742.01	103833.67	14400	0	53
2025.01.01	16:00:00	103833.62	103917.03	103600.79	103687.53	14401	0	53
2025.01.01	20:00:00	103687.48	103814.19	103664.61	103808.10	14340	0	53
2025.01.02	00:00:00	103808.05	103834.21	103670.70	103812.12	14400	0	53
2025.01.02	04:00:00	103812.07	103833.24	103694.22	103694.22	14400	0	53
2025.01.02	08:00:00	103694.17	103722.08	103433.97	103464.15	14400	0	53
2025.01.02	12:00:00	103464.10	103464.10	103129.89	103326.61	14400	0	53
2025.01.02	16:00:00	103326.56	103417.99	103259.02	103345.70	14400	0	53
2025.01.02	20:00:00	103345.65	103394.81	103155.55	103160.80	14400	0	53
2025.01.03	00:00:00	103160.75	103279.98	103059.10	103140.33	14400	0	53
2025.01.03	04:00:00	103140.28	103321.00	103028.22	103207.50	14400	0	53
2025.01.03	08:00:00	103207.45	103355.91	103148.71	103253.74	14400	0	53
2025.01.03	12:00:00	103253.69	103463.63	103202.73	103273.74	14400	0	53
2025.01.03	16:00:00	103273.69	103438.86	103196.27	103391.12	14400	0	53
2025.01.03	20:00:00	103391.07	103399.15	103223.73	103223.73	14400	0	53
2025.01.04	00:00:00	103223.68	103319.14	103141.98	103276.36	14400	0	53
2025.01.04	04:00:00	103276.31	103488.65	103275.06	103374.16	14400	0	53
2025.01.04	08:00:00	103374.11	103464.00	103276.27	103452.00	14400	0	53
2025.01.04	12:00:00	103451.95	103451.95	103090.51	103138.45	14400	0	53
2025.01.04	16:00:00	103138.40	103138.40	102827.49	102882.16	14401	0	53
2025.01.04	20:00:00	102882.11	103078.44	102795.04	103057.45	14400	0	53
2025.01.05	00:00:00	103057.40	103089.35	102877.62	103076.05	14400	0	53
2025.01.05	04:00:00	103076.00	103168.54	103006.87	103089.51	14335	0	53
2025.01.05	08:00:00	103089.46	103102.52	102933.36	102965.70	14400	0	53
2025.01.05	12:00:00	102965.65	103038.91	102872.52	102995.54	14282	0	53
2025.01.05	16:00:00	102995.49	103188.37	102928.31	103043.15	14400	0	53
2025.01.05	20:00:00	103043.10	103065.93	102886.12	102931.34	14400	0	53
2025.01.06	00:00:00	102931.29	103033.55	102840.48	103006.00	14400	0	53
2025.01.06	04:00:00	103005.95	103005.95	102861.04	102964.44	14400	0	53
2025.01.06	08:00:00	102964.39	103039.95	102773.09	102821.04	14316	0	53
