<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	94178.90	94181.18	93778.92	94052.11	86281	0	42
2025.01.02	94052.08	94134.44	93724.16	94060.86	86400	0	42
2025.01.03	94060.83	94114.22	93835.14	94053.68	86400	0	42
2025.01.04	94053.65	94379.32	93809.82	94331.23	86401	0	42
2025.01.05	94331.20	94442.68	93774.98	93850.99	86217	0	42
2025.01.06	93850.96	94133.51	93737.23	93858.68	86316	0	42
2025.01.07	93858.65	94227.27	93636.77	94208.88	86401	0	42
2025.01.08	94208.85	94259.31	93934.00	94080.56	86400	0	42
2025.01.09	94080.53	94235.43	93819.36	94183.78	86400	0	42
2025.01.10	94183.75	94576.50	93984.68	94315.91	86401	0	42
2025.01.11	94315.88	94359.01	94049.87	94341.83	86400	0	42
2025.01.12	94341.80	94558.07	94304.57	94374.09	86186	0	42
2025.01.13	94374.06	94696.57	94297.36	94677.28	86396	0	42
2025.01.14	94677.25	94941.62	94519.65	94846.21	86401	0	42
2025.01.15	94846.18	94902.54	94538.82	94696.52	86400	0	42
2025.01.16	94696.49	94696.56	94414.61	94496.48	86400	0	42
2025.01.17	94496.45	94663.85	94320.77	94658.00	86399	0	42
2025.01.18	94657.97	94755.85	94392.27	94484.22	86356	0	42
2025.01.19	94484.19	94623.19	94318.30	94575.31	86335	0	42
2025.01.20	94575.28	94618.50	93965.02	94020.40	86289	0	42
2025.01.21	94020.37	94154.28	93810.08	93810.08	86401	0	42
2025.01.22	93810.05	93892.05	93473.53	93473.53	86400	0	42
2025.01.23	93473.50	93651.03	93412.87	93442.16	86400	0	42
2025.01.24	93442.13	94009.40	93270.21	94008.95	86401	0	42
2025.01.25	94008.92	94229.99	93960.56	94170.17	86381	0	42
2025.01.26	94170.14	94712.03	94118.66	94662.93	86335	0	42
2025.01.27	94662.90	94848.08	94543.59	94554.14	86226	0	42
2025.01.28	94554.11	94647.49	94331.41	94467.01	86337	0	42
2025.01.29	94466.98	94778.38	94387.60	94479.90	86400	0	42
2025.01.30	94479.87	94588.19	93973.96	94066.49	86400	0	42
2025.01.31	94066.46	94196.75	93704.62	93829.91	86401	0	42
2025.02.01	93829.88	93844.16	93522.76	93522.76	85766	0	42
2025.02.02	93522.73	93732.67	93320.64	93506.71	86334	0	42
2025.02.03	93506.68	93661.08	93434.18	93583.53	86400	0	42
2025.02.04	93583.50	93836.01	93407.52	93412.96	86401	0	42
2025.02.05	93412.93	93570.76	93089.60	93105.41	86400	0	42
2025.02.06	93105.38	93300.29	93035.66	93199.72	86400	0	42
2025.02.07	93199.69	93314.45	93039.25	93191.61	86400	0	42
2025.02.08	93191.58	93338.22	92958.77	92964.61	86401	0	42
2025.02.09	92964.58	93218.80	92951.06	93108.15	86207	0	42
2025.02.10	93108.12	93313.19	93026.36	93190.70	86401	0	42
2025.02.11	93190.67	93508.09	93065.90	93374.78	86400	0	42
2025.02.12	93374.75	93374.75	92966.95	93198.12	86400	0	42
2025.02.13	93198.09	93202.87	92808.31	93057.58	86400	0	42
2025.02.14	93057.55	93341.05	92935.94	93324.48	86401	0	42
2025.02.15	93324.45	93598.73	93044.98	93590.99	86400	0	42
2025.02.16	93590.96	93944.13	93556.64	93893.97	86257	0	42
2025.02.17	93893.94	94295.98	93664.57	94088.98	86400	0	42
2025.02.18	94088.95	94293.76	94023.64	94089.29	86401	0	42
2025.02.19	94089.26	94303.73	94061.37	94097.93	86335	0	42
2025.02.20	94097.90	94383.07	93922.12	94376.68	86260	0	42
2025.02.21	94376.65	94494.27	94007.89	94007.89	86400	0	42
2025.02.22	94007.86	94389.90	93925.09	94333.83	86400	0	42
2025.02.23	94333.80	94575.78	94287.41	94444.63	86338	0	42
2025.02.24	94444.60	94672.52	94301.89	94612.01	86401	0	42
2025.02.25	94611.98	94722.20	94488.00	94530.17	86400	0	42
2025.02.26	94530.14	94756.48	94418.13	94418.13	86400	0	42
2025.02.27	94418.10	94861.98	94394.82	94792.81	86400	0	42
2025.02.28	94792.78	95034.80	94672.95	94841.17	86401	0	42
2025.03.01	94841.14	94938.64	94508.66	94932.40	86400	0	42
2025.03.02	94932.37	95259.57	94722.43	95197.04	86256	0	42
2025.03.03	95197.01	95512.62	95056.27	95512.44	86400	0	42
2025.03.04	95512.41	95512.41	94882.38	94940.10	86401	0	63
2025.03.05	94940.07	94983.32	94460.59	94761.01	86345	0	63
2025.03.06	94760.98	94862.74	94185.46	94185.46	86273	0	63
2025.03.07	94185.43	94270.37	93957.66	94241.77	86401	0	63
2025.03.08	94241.74	94506.13	94086.85	94097.16	86400	0	63
2025.03.09	94097.13	94193.69	93890.91	93964.62	86338	0	63
2025.03.10	93964.59	94175.07	93850.98	94006.35	86400	0	63
2025.03.11	94006.32	94192.27	93903.57	93956.40	86401	0	63
2025.03.12	93956.37	94169.38	93921.22	94104.58	86400	0	63
2025.03.13	94104.55	94199.22	93795.70	94136.92	86400	0	63
2025.03.14	94136.89	94169.05	93724.55	93724.55	86400	0	63
2025.03.15	93724.52	93836.82	93486.21	93486.61	86360	0	63
2025.03.16	93486.58	93498.73	93009.50	93052.84	86389	0	63
2025.03.17	93052.81	93052.81	92442.89	92549.36	86400	0	63
2025.03.18	92549.33	92970.55	92518.52	92910.72	86400	0	63
2025.03.19	92910.69	93405.40	92842.86	93377.66	86378	0	63
2025.03.20	93377.63	93606.34	93209.95	93529.61	86401	0	63
2025.03.21	93529.58	93763.26	93413.43	93515.29	86282	0	63
2025.03.22	93515.26	94144.77	93337.84	94033.77	86400	0	63
2025.03.23	94033.74	94557.14	93876.97	94362.29	86043	0	63
2025.03.24	94362.26	94898.30	94276.61	94610.52	86245	0	63
2025.03.25	94610.49	94805.66	94461.53	94505.53	85936	0	63
2025.03.26	94505.50	94854.33	94441.29	94783.71	86400	0	63
2025.03.27	94783.68	94950.72	94680.19	94835.54	86401	0	63
2025.03.28	94835.51	94870.79	94219.25	94252.53	86400	0	63
2025.03.29	94252.50	94278.02	93989.55	94147.55	86400	0	63
2025.03.30	94147.52	94254.70	93724.93	93938.97	80188	0	63
2025.03.31	93938.94	93940.42	93194.00	93206.64	86400	0	63
2025.04.01	93206.61	93303.36	92949.03	93203.85	86400	0	63
2025.04.02	93203.82	93594.45	93057.39	93525.01	86401	0	63
2025.04.03	93524.98	93576.42	93223.51	93487.33	86400	0	63
2025.04.04	93487.30	93560.64	93230.48	93470.22	86400	0	63
2025.04.05	93470.19	93470.19	93128.27	93389.17	86400	0	63
2025.04.06	93389.14	93593.09	93197.68	93266.39	86338	0	63
2025.04.07	93266.36	93495.51	93192.89	93477.79	86400	0	63
2025.04.08	93477.76	93477.76	93084.34	93253.86	86400	0	63
2025.04.09	93253.83	93411.56	93126.32	93350.44	86400	0	63
2025.04.10	93350.41	93653.81	93149.66	93166.77	86401	0	63
2025.04.11	93166.74	93586.17	93070.91	93418.32	86316	0	63
2025.04.12	93418.29	93775.32	93317.23	93601.13	86400	0	63
2025.04.13	93601.10	94289.46	93559.45	94210.87	86249	0	63
2025.04.14	94210.84	94568.07	94204.51	94553.60	86400	0	63
2025.04.15	94553.57	94675.83	94303.19	94508.67	86281	0	63
2025.04.16	94508.64	94644.47	94352.90	94459.84	86399	0	63
