<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	98597.63	98597.63	98564.07	98564.07	840	0	64
2025.01.01	00:15:00	98564.03	98564.03	98528.07	98528.07	900	0	64
2025.01.01	00:30:00	98528.03	98556.31	98496.11	98553.91	900	0	64
2025.01.01	00:45:00	98553.87	98554.40	98525.27	98547.08	900	0	64
2025.01.01	01:00:00	98547.04	98547.04	98511.08	98511.08	900	0	64
2025.01.01	01:15:00	98511.04	98530.50	98491.60	98514.02	900	0	64
2025.01.01	01:30:00	98513.98	98556.72	98509.46	98552.68	900	0	64
2025.01.01	01:45:00	98552.64	98552.64	98516.68	98516.68	900	0	64
2025.01.01	02:00:00	98516.64	98516.64	98480.68	98480.68	900	0	64
2025.01.01	02:15:00	98480.64	98480.64	98444.68	98444.68	900	0	64
2025.01.01	02:30:00	98444.64	98471.72	98432.68	98447.76	900	0	64
2025.01.01	02:45:00	98447.72	98456.43	98423.04	98445.19	900	0	64
2025.01.01	03:00:00	98445.15	98495.52	98429.51	98475.24	900	0	64
2025.01.01	03:15:00	98475.20	98494.24	98463.10	98490.76	900	0	64
2025.01.01	03:30:00	98490.72	98490.72	98454.76	98454.76	900	0	64
2025.01.01	03:45:00	98454.72	98454.72	98418.76	98418.76	900	0	64
2025.01.01	04:00:00	98418.72	98425.54	98384.32	98424.02	900	0	64
2025.01.01	04:15:00	98423.98	98427.30	98396.78	98418.58	900	0	64
2025.01.01	04:30:00	98418.54	98445.99	98412.03	98412.03	900	0	64
2025.01.01	04:45:00	98411.99	98411.99	98376.03	98376.03	900	0	64
2025.01.01	05:00:00	98375.99	98396.14	98362.79	98373.42	900	0	64
2025.01.01	05:15:00	98373.38	98412.56	98356.30	98393.72	900	0	64
2025.01.01	05:30:00	98393.68	98393.68	98357.72	98357.72	900	0	64
2025.01.01	05:45:00	98357.68	98357.68	98321.72	98321.72	900	0	64
2025.01.01	06:00:00	98321.68	98321.68	98285.72	98285.72	900	0	64
2025.01.01	06:15:00	98285.68	98285.68	98249.72	98249.72	900	0	64
2025.01.01	06:30:00	98249.68	98249.68	98213.72	98213.72	900	0	64
2025.01.01	06:45:00	98213.68	98213.68	98177.72	98177.72	900	0	64
2025.01.01	07:00:00	98177.68	98217.67	98171.68	98199.07	900	0	64
2025.01.01	07:15:00	98199.03	98222.81	98191.01	98191.01	900	0	64
2025.01.01	07:30:00	98190.97	98190.97	98155.01	98155.01	900	0	64
2025.01.01	07:45:00	98154.97	98177.77	98138.49	98158.33	900	0	64
2025.01.01	08:00:00	98158.29	98158.29	98122.33	98122.33	900	0	64
2025.01.01	08:15:00	98122.29	98151.91	98101.53	98136.75	900	0	64
2025.01.01	08:30:00	98136.71	98193.86	98131.57	98191.58	900	0	64
2025.01.01	08:45:00	98191.54	98191.54	98155.58	98155.58	900	0	64
2025.01.01	09:00:00	98155.54	98155.54	98119.58	98119.58	900	0	64
2025.01.01	09:15:00	98119.54	98175.36	98095.38	98173.68	900	0	64
2025.01.01	09:30:00	98173.64	98173.64	98137.68	98137.68	900	0	64
2025.01.01	09:45:00	98137.64	98137.64	98101.68	98101.68	900	0	64
2025.01.01	10:00:00	98101.64	98101.64	98065.68	98065.68	900	0	64
2025.01.01	10:15:00	98065.64	98109.74	98061.76	98103.70	900	0	64
2025.01.01	10:30:00	98103.66	98103.66	98068.90	98098.03	900	0	64
2025.01.01	10:45:00	98097.99	98097.99	98062.03	98062.03	900	0	64
2025.01.01	11:00:00	98061.99	98061.99	98026.03	98026.03	900	0	64
2025.01.01	11:15:00	98025.99	98050.04	98019.32	98019.32	900	0	64
2025.01.01	11:30:00	98019.28	98019.28	97983.32	97983.32	900	0	64
2025.01.01	11:45:00	97983.28	97986.23	97957.48	97976.11	900	0	64
2025.01.01	12:00:00	97976.07	97976.07	97940.11	97940.11	900	0	64
2025.01.01	12:15:00	97940.07	97940.07	97904.11	97904.11	900	0	64
2025.01.01	12:30:00	97904.07	97904.07	97868.11	97868.11	900	0	64
2025.01.01	12:45:00	97868.07	97868.07	97832.11	97832.11	900	0	64
2025.01.01	13:00:00	97832.07	97832.07	97796.11	97796.11	900	0	64
2025.01.01	13:15:00	97796.07	97796.07	97760.11	97760.11	900	0	64
2025.01.01	13:30:00	97760.07	97760.07	97724.11	97724.11	900	0	64
2025.01.01	13:45:00	97724.07	97724.07	97688.11	97688.11	900	0	64
2025.01.01	14:00:00	97688.07	97688.07	97652.11	97652.11	900	0	64
2025.01.01	14:15:00	97652.07	97652.07	97616.11	97616.11	900	0	64
2025.01.01	14:30:00	97616.07	97637.38	97604.58	97604.58	900	0	64
2025.01.01	14:45:00	97604.54	97604.54	97568.58	97568.58	900	0	64
2025.01.01	15:00:00	97568.54	97568.54	97532.58	97532.58	900	0	64
2025.01.01	15:15:00	97532.54	97532.54	97496.58	97496.58	900	0	64
2025.01.01	15:30:00	97496.54	97506.94	97481.38	97481.38	900	0	64
2025.01.01	15:45:00	97481.34	97495.88	97460.54	97480.76	900	0	64
2025.01.01	16:00:00	97480.72	97480.72	97444.76	97444.76	900	0	64
2025.01.01	16:15:00	97444.72	97444.72	97408.76	97408.76	900	0	64
2025.01.01	16:30:00	97408.72	97408.72	97381.08	97397.51	900	0	64
2025.01.01	16:45:00	97397.47	97397.47	97361.51	97361.51	900	0	64
2025.01.01	17:00:00	97361.47	97372.36	97346.07	97351.84	900	0	64
