<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	98597.63	98597.63	98496.11	98547.08	3540	0	64
2025.01.01	01:00:00	98547.04	98556.72	98491.60	98516.68	3600	0	64
2025.01.01	02:00:00	98516.64	98516.64	98423.04	98445.19	3600	0	64
2025.01.01	03:00:00	98445.15	98495.52	98418.76	98418.76	3600	0	64
2025.01.01	04:00:00	98418.72	98445.99	98376.03	98376.03	3600	0	64
2025.01.01	05:00:00	98375.99	98412.56	98321.72	98321.72	3600	0	64
2025.01.01	06:00:00	98321.68	98321.68	98177.72	98177.72	3600	0	64
2025.01.01	07:00:00	98177.68	98222.81	98138.49	98158.33	3600	0	64
2025.01.01	08:00:00	98158.29	98193.86	98101.53	98155.58	3600	0	64
2025.01.01	09:00:00	98155.54	98175.36	98095.38	98101.68	3600	0	64
2025.01.01	10:00:00	98101.64	98109.74	98061.76	98062.03	3600	0	64
2025.01.01	11:00:00	98061.99	98061.99	97957.48	97976.11	3600	0	64
2025.01.01	12:00:00	97976.07	97976.07	97832.11	97832.11	3600	0	64
2025.01.01	13:00:00	97832.07	97832.07	97688.11	97688.11	3600	0	64
2025.01.01	14:00:00	97688.07	97688.07	97568.58	97568.58	3600	0	64
2025.01.01	15:00:00	97568.54	97568.54	97460.54	97480.76	3600	0	64
2025.01.01	16:00:00	97480.72	97480.72	97361.51	97361.51	3600	0	64
2025.01.01	17:00:00	97361.47	97452.56	97309.96	97452.04	3600	0	64
2025.01.01	18:00:00	97452.00	97461.23	97400.63	97447.03	3600	0	64
2025.01.01	19:00:00	97446.99	97470.83	97354.03	97445.31	3601	0	64
2025.01.01	20:00:00	97445.27	97445.27	97345.36	97345.36	3600	0	64
2025.01.01	21:00:00	97345.32	97345.32	97201.36	97201.36	3600	0	64
2025.01.01	22:00:00	97201.32	97347.17	97164.93	97308.25	3600	0	64
2025.01.01	23:00:00	97308.21	97354.71	97226.23	97269.94	3540	0	64
2025.01.02	00:00:00	97269.90	97432.34	97252.74	97400.18	3600	0	64
2025.01.02	01:00:00	97400.14	97400.14	97278.89	97278.89	3600	0	64
2025.01.02	02:00:00	97278.85	97298.60	97227.58	97227.58	3600	0	64
2025.01.02	03:00:00	97227.54	97242.26	97170.94	97195.74	3600	0	64
2025.01.02	04:00:00	97195.70	97232.63	97135.38	97201.11	3600	0	64
2025.01.02	05:00:00	97201.07	97271.40	97132.09	97261.56	3600	0	64
2025.01.02	06:00:00	97261.52	97261.52	97117.56	97117.56	3600	0	64
2025.01.02	07:00:00	97117.52	97207.26	97082.20	97130.54	3600	0	64
2025.01.02	08:00:00	97130.50	97285.81	97126.26	97278.13	3600	0	64
2025.01.02	09:00:00	97278.09	97392.96	97274.93	97348.36	3600	0	64
2025.01.02	10:00:00	97348.32	97501.76	97307.52	97495.12	3600	0	64
2025.01.02	11:00:00	97495.08	97495.08	97374.23	97374.23	3600	0	64
2025.01.02	12:00:00	97374.19	97391.57	97269.37	97269.37	3600	0	64
2025.01.02	13:00:00	97269.33	97284.20	97190.52	97191.95	3600	0	64
2025.01.02	14:00:00	97191.91	97191.91	97078.75	97078.75	3600	0	64
2025.01.02	15:00:00	97078.71	97145.53	97059.57	97059.57	3600	0	64
2025.01.02	16:00:00	97059.53	97073.67	96950.83	96950.83	3600	0	64
2025.01.02	17:00:00	96950.79	96983.40	96905.43	96943.92	3600	0	64
2025.01.02	18:00:00	96943.88	96998.64	96899.33	96899.33	3600	0	64
2025.01.02	19:00:00	96899.29	96937.04	96815.45	96908.60	3600	0	64
2025.01.02	20:00:00	96908.56	96921.41	96826.33	96897.70	3600	0	64
2025.01.02	21:00:00	96897.66	97055.62	96874.14	97014.62	3600	0	64
2025.01.02	22:00:00	97014.58	97027.63	96923.88	96923.88	3600	0	64
2025.01.02	23:00:00	96923.84	96943.47	96843.56	96930.39	3600	0	64
2025.01.03	00:00:00	96930.35	97076.43	96914.63	96999.03	3600	0	64
2025.01.03	01:00:00	96998.99	97073.03	96989.75	97058.11	3600	0	64
2025.01.03	02:00:00	97058.07	97093.37	97005.74	97060.93	3600	0	64
2025.01.03	03:00:00	97060.89	97060.89	96932.09	96986.73	3600	0	64
2025.01.03	04:00:00	96986.69	97048.46	96938.58	97015.26	3600	0	64
2025.01.03	05:00:00	97015.22	97114.83	96989.58	97085.06	3600	0	64
2025.01.03	06:00:00	97085.02	97085.02	96991.50	97012.88	3600	0	64
2025.01.03	07:00:00	97012.84	97280.78	96997.20	97273.06	3600	0	64
2025.01.03	08:00:00	97273.02	97273.02	97191.86	97206.55	3600	0	64
