<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	95301.13	95356.21	95019.24	95081.09	86281	0	30
2025.01.02	95081.11	95090.87	94594.49	94957.17	86400	0	30
2025.01.03	94957.19	95071.37	94648.11	94991.45	86400	0	30
2025.01.04	94991.47	95187.60	94820.71	95103.33	86401	0	30
2025.01.05	95103.35	95712.99	95095.15	95639.44	86219	0	30
2025.01.06	95639.46	95815.82	95577.27	95733.93	86278	0	30
2025.01.07	95733.95	95790.13	95363.19	95376.33	86401	0	30
2025.01.08	95376.35	95800.53	95321.61	95703.21	86400	0	30
2025.01.09	95703.23	95959.60	95636.98	95924.80	86400	0	30
2025.01.10	95924.82	95944.81	95655.43	95787.77	86401	0	30
2025.01.11	95787.79	95944.12	95627.90	95879.50	86400	0	30
2025.01.12	95879.52	95959.04	95742.48	95754.60	86192	0	30
2025.01.13	95754.62	96067.87	95692.85	96067.87	86396	0	30
2025.01.14	96067.89	96174.36	95878.91	95892.51	86401	0	30
2025.01.15	95892.53	96467.86	95877.33	96467.86	86378	0	30
2025.01.16	96467.88	96564.43	96247.38	96294.04	86400	0	30
2025.01.17	96294.06	96311.22	95891.47	96069.99	86401	0	30
2025.01.18	96070.01	96114.20	95898.74	96114.20	86376	0	30
2025.01.19	96114.22	96262.83	95635.85	95702.08	86337	0	30
2025.01.20	95702.10	95959.58	95625.92	95959.58	86278	0	30
2025.01.21	95959.60	96139.03	95872.46	95999.55	86401	0	30
2025.01.22	95999.57	96011.52	95811.05	95948.34	86400	0	30
2025.01.23	95948.36	96332.05	95867.90	96332.05	86400	0	30
2025.01.24	96332.07	96460.88	96201.46	96215.63	86401	0	30
2025.01.25	96215.65	96274.53	96034.77	96233.71	86382	0	30
2025.01.26	96233.73	96489.55	96218.26	96415.96	86336	0	30
2025.01.27	96415.98	96618.60	96382.35	96505.92	86235	0	30
2025.01.28	96505.94	96551.88	96308.03	96424.63	86297	0	30
2025.01.29	96424.65	96671.86	96422.63	96457.87	86400	0	30
2025.01.30	96457.89	96635.45	96401.86	96603.54	86400	0	30
2025.01.31	96603.56	96670.92	96244.61	96321.54	86401	0	30
2025.02.01	96321.56	96555.97	96294.92	96408.31	85766	0	30
2025.02.02	96408.33	96703.01	96229.18	96301.38	86336	0	30
2025.02.03	96301.40	96313.74	95993.81	96187.32	86400	0	30
2025.02.04	96187.34	96212.40	95911.63	95999.92	86401	0	30
2025.02.05	95999.94	96070.08	95624.40	95627.52	86400	0	30
2025.02.06	95627.54	95844.07	95607.12	95755.88	86400	0	30
2025.02.07	95755.90	95867.39	95577.48	95768.77	86400	0	30
2025.02.08	95768.79	95928.63	95704.08	95780.06	86401	0	30
2025.02.09	95780.08	96162.92	95758.92	96126.96	86209	0	30
2025.02.10	96126.98	96275.09	95720.75	95756.49	86401	0	30
2025.02.11	95756.51	95887.96	95558.67	95787.78	86400	0	30
2025.02.12	95787.80	96114.79	95787.80	95860.43	86400	0	30
2025.02.13	95860.45	95928.31	95480.40	95586.54	86400	0	30
2025.02.14	95586.56	95688.87	95428.59	95581.34	86401	0	30
2025.02.15	95581.36	95616.52	95127.59	95312.12	86400	0	30
2025.02.16	95312.14	95313.78	95090.78	95183.98	86259	0	30
2025.02.17	95184.00	95318.72	95094.52	95251.14	86400	0	30
2025.02.18	95251.16	95488.26	95189.97	95400.87	86401	0	30
2025.02.19	95400.89	95538.07	95314.62	95426.41	86336	0	30
2025.02.20	95426.43	95487.15	95162.51	95388.05	86260	0	30
2025.02.21	95388.07	95438.91	94989.36	95050.91	86400	0	30
2025.02.22	95050.93	95291.09	95050.93	95187.25	86400	0	30
2025.02.23	95187.27	95254.15	94967.40	95224.60	86338	0	30
