<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	10:00:00	94567.64	94603.97	94561.91	94603.97	900	0	52
2025.01.01	10:15:00	94604.03	94641.12	94604.03	94641.12	900	0	52
2025.01.01	10:30:00	94641.18	94647.42	94528.41	94532.67	900	0	52
2025.01.01	10:45:00	94532.73	94562.30	94531.42	94541.98	900	0	52
2025.01.01	11:00:00	94542.04	94550.26	94507.15	94510.27	900	0	52
2025.01.01	11:15:00	94510.33	94513.45	94440.85	94467.97	900	0	52
2025.01.01	11:30:00	94468.03	94509.25	94468.03	94509.25	900	0	52
2025.01.01	11:45:00	94509.31	94540.45	94509.31	94532.20	900	0	52
2025.01.01	12:00:00	94532.26	94554.23	94525.61	94554.23	900	0	52
2025.01.01	12:15:00	94554.29	94556.51	94490.13	94503.33	900	0	52
2025.01.01	12:30:00	94503.39	94520.11	94441.27	94442.23	900	0	52
2025.01.01	12:45:00	94442.29	94455.85	94404.22	94425.72	900	0	52
2025.01.01	13:00:00	94425.78	94435.32	94378.70	94402.15	900	0	52
2025.01.01	13:15:00	94402.21	94427.04	94395.54	94414.76	900	0	52
2025.01.01	13:30:00	94414.82	94442.24	94409.98	94411.87	900	0	52
2025.01.01	13:45:00	94411.93	94420.03	94341.51	94349.01	900	0	52
2025.01.01	14:00:00	94349.07	94354.35	94316.98	94336.60	900	0	52
2025.01.01	14:15:00	94336.66	94348.60	94241.48	94255.40	900	0	52
2025.01.01	14:30:00	94255.46	94309.40	94255.46	94309.40	900	0	52
2025.01.01	14:45:00	94309.46	94321.51	94290.43	94302.80	900	0	52
2025.01.01	15:00:00	94302.86	94313.48	94247.62	94252.30	900	0	52
2025.01.01	15:15:00	94252.36	94263.94	94221.32	94259.72	900	0	52
2025.01.01	15:30:00	94259.78	94306.04	94259.78	94281.78	900	0	52
2025.01.01	15:45:00	94281.84	94311.78	94240.84	94248.76	900	0	52
2025.01.01	16:00:00	94248.82	94268.95	94227.73	94242.97	900	0	52
2025.01.01	16:15:00	94243.03	94265.77	94169.78	94179.26	900	0	52
2025.01.01	16:30:00	94179.32	94217.48	94169.57	94184.57	900	0	52
2025.01.01	16:45:00	94184.63	94214.89	94184.63	94195.42	900	0	52
2025.01.01	17:00:00	94195.48	94208.45	94156.01	94162.13	900	0	52
2025.01.01	17:15:00	94162.19	94177.91	94139.42	94162.04	900	0	52
2025.01.01	17:30:00	94162.10	94201.46	94162.10	94195.68	901	0	52
2025.01.01	17:45:00	94195.74	94238.22	94195.74	94197.22	899	0	52
2025.01.01	18:00:00	94197.28	94223.53	94171.99	94223.53	900	0	52
2025.01.01	18:15:00	94223.59	94256.70	94208.94	94223.41	900	0	52
2025.01.01	18:30:00	94223.47	94277.41	94223.47	94277.41	900	0	52
2025.01.01	18:45:00	94277.47	94288.75	94207.84	94224.64	900	0	52
2025.01.01	19:00:00	94224.70	94230.46	94118.57	94121.21	900	0	52
2025.01.01	19:15:00	94121.27	94139.33	94093.25	94121.21	900	0	52
2025.01.01	19:30:00	94121.27	94142.42	94100.66	94134.39	901	0	52
2025.01.01	19:45:00	94134.45	94149.27	94124.05	94149.27	900	0	52
2025.01.01	20:00:00	94149.33	94153.36	94101.17	94128.35	900	0	52
2025.01.01	20:15:00	94128.41	94153.86	94115.40	94153.86	900	0	52
2025.01.01	20:30:00	94153.92	94185.66	94153.92	94183.62	900	0	52
2025.01.01	20:45:00	94183.68	94187.58	94154.39	94179.00	900	0	52
2025.01.01	21:00:00	94179.06	94183.80	94107.77	94109.63	900	0	52
2025.01.01	21:15:00	94109.69	94115.69	94064.33	94115.69	900	0	52
2025.01.01	21:30:00	94115.75	94139.15	94109.46	94127.40	900	0	52
2025.01.01	21:45:00	94127.46	94156.02	94118.38	94126.35	900	0	52
2025.01.01	22:00:00	94126.41	94180.35	94126.41	94180.35	900	0	52
2025.01.01	22:15:00	94180.41	94220.13	94180.41	94209.75	900	0	52
2025.01.01	22:30:00	94209.81	94250.49	94209.81	94222.39	900	0	52
2025.01.01	22:45:00	94222.45	94226.11	94170.37	94171.23	900	0	52
2025.01.01	23:00:00	94171.29	94191.62	94149.05	94164.77	900	0	52
2025.01.01	23:15:00	94164.83	94173.11	94091.38	94113.40	900	0	52
2025.01.01	23:30:00	94113.46	94130.32	94093.82	94115.86	900	0	52
2025.01.01	23:45:00	94115.92	94133.56	94094.86	94113.46	840	0	52
2025.01.02	00:00:00	94113.52	94121.80	94032.74	94042.64	900	0	52
2025.01.02	00:15:00	94042.70	94093.76	94042.70	94082.71	900	0	52
2025.01.02	00:30:00	94082.77	94120.16	94070.90	94120.16	900	0	52
2025.01.02	00:45:00	94120.22	94161.08	94120.22	94135.96	900	0	52
2025.01.02	01:00:00	94136.02	94149.35	94103.03	94149.35	900	0	52
2025.01.02	01:15:00	94149.41	94169.51	94137.54	94159.27	900	0	52
2025.01.02	01:30:00	94159.33	94184.13	94159.33	94171.80	900	0	52
2025.01.02	01:45:00	94171.86	94225.32	94171.86	94200.02	900	0	52
2025.01.02	02:00:00	94200.08	94220.10	94182.60	94220.10	900	0	52
2025.01.02	02:15:00	94220.16	94235.52	94187.99	94222.97	900	0	52
