<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	107538.82	107541.67	107459.79	107472.04	840	0	53
2025.01.01	00:15:00	107472.09	107496.74	107402.56	107408.41	900	0	53
2025.01.01	00:30:00	107408.46	107416.36	107321.20	107340.45	900	0	53
2025.01.01	00:45:00	107340.50	107357.40	107310.73	107336.83	900	0	53
2025.01.01	01:00:00	107336.88	107370.38	107336.88	107354.78	900	0	53
2025.01.01	01:15:00	107354.83	107384.03	107354.83	107379.68	900	0	53
2025.01.01	01:30:00	107379.73	107408.23	107378.11	107394.51	900	0	53
2025.01.01	01:45:00	107394.56	107423.51	107387.68	107403.63	900	0	53
2025.01.01	02:00:00	107403.68	107412.26	107373.61	107412.26	900	0	53
2025.01.01	02:15:00	107412.31	107430.31	107335.03	107343.83	900	0	53
2025.01.01	02:30:00	107343.88	107377.03	107329.81	107341.56	900	0	53
2025.01.01	02:45:00	107341.61	107371.36	107341.57	107356.72	900	0	53
2025.01.01	03:00:00	107356.77	107377.06	107335.83	107339.08	900	0	53
2025.01.01	03:15:00	107339.13	107384.08	107339.13	107384.08	900	0	53
2025.01.01	03:30:00	107384.13	107408.53	107348.65	107353.35	900	0	53
2025.01.01	03:45:00	107353.40	107364.40	107328.00	107364.40	900	0	53
2025.01.01	04:00:00	107364.45	107391.20	107358.47	107376.62	900	0	53
2025.01.01	04:15:00	107376.67	107381.16	107338.96	107346.62	900	0	53
2025.01.01	04:30:00	107346.67	107349.77	107281.80	107284.30	900	0	53
2025.01.01	04:45:00	107284.35	107329.30	107284.35	107329.30	900	0	53
2025.01.01	05:00:00	107329.35	107338.30	107287.58	107288.78	900	0	53
2025.01.01	05:15:00	107288.83	107288.98	107185.26	107205.06	900	0	53
2025.01.01	05:30:00	107205.11	107250.06	107205.11	107250.06	900	0	53
2025.01.01	05:45:00	107250.11	107258.71	107208.31	107231.46	900	0	53
2025.01.01	06:00:00	107231.51	107253.31	107172.69	107182.19	900	0	53
2025.01.01	06:15:00	107182.24	107201.19	107124.37	107140.37	900	0	53
2025.01.01	06:30:00	107140.42	107180.67	107140.42	107165.50	900	0	53
2025.01.01	06:45:00	107165.55	107210.50	107165.55	107210.50	900	0	53
2025.01.01	07:00:00	107210.55	107255.50	107210.55	107255.50	900	0	53
2025.01.01	07:15:00	107255.55	107277.66	107240.76	107247.41	900	0	53
2025.01.01	07:30:00	107247.46	107292.41	107247.46	107292.41	900	0	53
2025.01.01	07:45:00	107292.46	107298.66	107236.95	107244.55	900	0	53
2025.01.01	08:00:00	107244.60	107256.84	107219.79	107256.84	900	0	53
2025.01.01	08:15:00	107256.89	107301.84	107256.89	107301.84	900	0	53
2025.01.01	08:30:00	107301.89	107308.64	107182.20	107192.05	900	0	53
2025.01.01	08:45:00	107192.10	107207.70	107170.40	107207.70	900	0	53
2025.01.01	09:00:00	107207.75	107221.85	107141.14	107152.54	900	0	53
2025.01.01	09:15:00	107152.59	107155.49	107070.41	107104.46	900	0	53
2025.01.01	09:30:00	107104.51	107106.56	107065.81	107100.31	900	0	53
2025.01.01	09:45:00	107100.36	107111.81	107023.14	107035.04	900	0	53
2025.01.01	10:00:00	107035.09	107043.09	106959.21	106970.31	900	0	53
2025.01.01	10:15:00	106970.36	106990.00	106949.85	106990.00	900	0	53
2025.01.01	10:30:00	106990.05	107015.20	106987.23	107006.98	900	0	53
2025.01.01	10:45:00	107007.03	107050.73	107006.88	107008.08	900	0	53
2025.01.01	11:00:00	107008.13	107053.08	107008.13	107053.08	900	0	53
2025.01.01	11:15:00	107053.13	107075.13	107009.64	107021.89	900	0	53
2025.01.01	11:30:00	107021.94	107021.99	106945.94	106965.50	900	0	53
2025.01.01	11:45:00	106949.80	106994.75	106949.80	106994.75	900	0	53
2025.01.01	12:00:00	106994.80	106997.10	106929.37	106938.97	900	0	53
2025.01.01	12:15:00	106939.02	106972.77	106932.49	106943.64	900	0	53
2025.01.01	12:30:00	106943.69	106951.74	106837.27	106846.11	900	0	53
2025.01.01	12:45:00	106846.16	106869.66	106828.96	106869.66	900	0	53
2025.01.01	13:00:00	106869.71	106883.12	106845.87	106883.12	900	0	53
2025.01.01	13:15:00	106883.17	106899.35	106859.50	106899.35	900	0	53
2025.01.01	13:30:00	106899.40	106936.90	106883.22	106890.62	900	0	53
2025.01.01	13:45:00	106890.67	106895.42	106824.37	106854.97	900	0	53
2025.01.01	14:00:00	106855.02	106873.89	106833.04	106873.89	900	0	53
2025.01.01	14:15:00	106873.94	106873.99	106786.44	106791.09	900	0	53
2025.01.01	14:30:00	106791.14	106836.09	106791.14	106836.09	900	0	53
2025.01.01	14:45:00	106836.14	106860.81	106836.14	106860.81	900	0	53
2025.01.01	15:00:00	106860.86	106868.66	106838.60	106866.20	900	0	53
2025.01.01	15:15:00	106866.25	106911.20	106866.25	106911.20	900	0	53
2025.01.01	15:30:00	106911.25	106954.20	106911.25	106935.25	900	0	53
2025.01.01	15:45:00	106935.30	106980.25	106935.30	106980.25	900	0	53
2025.01.01	16:00:00	106980.30	106993.75	106931.50	106933.10	900	0	53
2025.01.01	16:15:00	106933.15	106978.10	106933.15	106978.10	900	0	53
2025.01.01	16:30:00	106978.15	107023.10	106978.15	107023.10	900	0	53
2025.01.01	16:45:00	107023.15	107040.85	107004.91	107032.11	900	0	53
2025.01.01	17:00:00	107032.16	107040.26	107007.01	107026.20	900	0	53
2025.01.01	17:15:00	107026.25	107059.45	107016.97	107018.27	900	0	53
2025.01.01	17:30:00	107018.32	107063.32	107018.32	107063.32	901	0	53
2025.01.01	17:45:00	107063.37	107070.57	107023.40	107023.90	899	0	53
