<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	106376.41	106404.34	106367.70	106385.75	3540	0	42
2025.01.01	01:00:00	106385.78	106425.13	106375.20	106395.19	3600	0	42
2025.01.01	02:00:00	106395.22	106426.90	106357.33	106408.22	3600	0	42
2025.01.01	03:00:00	106408.25	106418.93	106299.32	106322.21	3600	0	42
2025.01.01	04:00:00	106322.24	106417.31	106322.24	106417.31	3600	0	42
2025.01.01	05:00:00	106417.34	106427.45	106346.88	106349.79	3600	0	42
2025.01.01	06:00:00	106349.82	106371.89	106260.39	106282.56	3600	0	42
2025.01.01	07:00:00	106282.59	106324.59	106263.27	106284.78	3600	0	42
2025.01.01	08:00:00	106284.81	106316.75	106265.70	106313.68	3600	0	42
2025.01.01	09:00:00	106313.71	106373.05	106241.50	106252.39	3600	0	42
2025.01.01	10:00:00	106252.42	106263.64	106197.40	106240.17	3600	0	42
2025.01.01	11:00:00	106240.20	106286.28	106214.27	106218.38	3600	0	42
2025.01.01	12:00:00	106218.41	106295.93	106218.41	106295.93	3600	0	42
2025.01.01	13:00:00	106295.96	106362.59	106295.48	106314.41	3600	0	42
2025.01.01	14:00:00	106314.44	106376.42	106287.93	106360.96	3600	0	42
2025.01.01	15:00:00	106360.99	106378.21	106306.87	106371.55	3600	0	42
2025.01.01	16:00:00	106371.58	106378.00	106292.72	106308.02	3600	0	42
2025.01.01	17:00:00	106308.05	106339.60	106283.44	106301.52	3600	0	42
2025.01.01	18:00:00	106301.55	106336.96	106297.63	106330.73	3600	0	42
2025.01.01	19:00:00	106330.76	106336.31	106251.43	106269.52	3601	0	42
2025.01.01	20:00:00	106269.55	106342.90	106269.55	106342.90	3600	0	42
2025.01.01	21:00:00	106342.93	106397.37	106323.66	106397.37	3600	0	42
2025.01.01	22:00:00	106397.40	106415.07	106362.59	106410.89	3600	0	42
2025.01.01	23:00:00	106410.92	106456.41	106386.72	106456.41	3540	0	42
2025.01.02	00:00:00	106456.44	106478.75	106444.92	106477.05	3600	0	42
2025.01.02	01:00:00	106477.08	106489.05	106411.94	106467.74	3600	0	42
2025.01.02	02:00:00	106467.77	106479.68	106372.58	106394.46	3600	0	42
2025.01.02	03:00:00	106394.49	106402.20	106241.41	106242.61	3600	0	42
2025.01.02	04:00:00	106242.64	106268.71	106198.69	106268.71	3600	0	42
2025.01.02	05:00:00	106237.60	106262.70	106207.44	106259.15	3600	0	42
2025.01.02	06:00:00	106259.18	106352.43	106259.18	106352.43	3600	0	42
2025.01.02	07:00:00	106352.46	106379.55	106301.34	106314.57	3600	0	42
2025.01.02	08:00:00	106314.60	106351.74	106297.35	106321.98	3600	0	42
2025.01.02	09:00:00	106322.01	106357.87	106298.63	106309.46	3600	0	42
2025.01.02	10:00:00	106309.49	106375.60	106309.49	106375.60	3600	0	42
2025.01.02	11:00:00	106375.63	106435.63	106375.63	106414.72	3600	0	42
2025.01.02	12:00:00	106414.75	106423.21	106360.75	106420.72	3600	0	42
2025.01.02	13:00:00	106420.75	106454.13	106383.52	106398.07	3600	0	42
2025.01.02	14:00:00	106398.10	106483.96	106380.82	106483.96	3600	0	42
2025.01.02	15:00:00	106483.99	106519.93	106447.32	106462.47	3600	0	42
2025.01.02	16:00:00	106462.50	106526.10	106462.50	106526.10	3600	0	42
2025.01.02	17:00:00	106526.13	106561.19	106499.84	106542.54	3600	0	42
2025.01.02	18:00:00	106542.57	106562.63	106456.70	106470.65	3600	0	42
2025.01.02	19:00:00	106470.68	106473.20	106385.79	106467.00	3600	0	42
2025.01.02	20:00:00	106467.03	106507.38	106456.53	106507.38	3600	0	42
2025.01.02	21:00:00	106507.41	106549.21	106478.59	106528.61	3600	0	42
2025.01.02	22:00:00	106528.64	106598.03	106528.64	106571.74	3600	0	42
2025.01.02	23:00:00	106571.77	106582.18	106387.76	106406.57	3600	0	42
2025.01.03	00:00:00	106406.60	106427.99	106355.21	106399.99	3600	0	42
2025.01.03	01:00:00	106400.02	106467.79	106400.02	106467.79	3600	0	42
2025.01.03	02:00:00	106467.82	106543.68	106455.96	106514.63	3600	0	42
2025.01.03	03:00:00	106514.66	106523.65	106466.44	106478.32	3600	0	42
2025.01.03	04:00:00	106478.35	106514.86	106430.92	106447.58	3600	0	42
2025.01.03	05:00:00	106447.61	106457.63	106390.21	106393.93	3600	0	42
2025.01.03	06:00:00	106393.96	106437.76	106381.88	106437.76	3600	0	42
2025.01.03	07:00:00	106437.79	106512.98	106435.88	106512.98	3600	0	42
2025.01.03	08:00:00	106513.01	106544.60	106485.26	106526.58	3600	0	42
2025.01.03	09:00:00	106526.61	106528.80	106401.74	106436.39	3600	0	42
2025.01.03	10:00:00	106436.42	106497.65	106413.84	106417.02	3600	0	42
2025.01.03	11:00:00	106417.05	106423.35	106328.39	106354.82	3600	0	42
2025.01.03	12:00:00	106354.85	106360.19	106294.81	106325.17	3600	0	42
2025.01.03	13:00:00	106325.20	106329.37	106275.53	106320.08	3600	0	42
2025.01.03	14:00:00	106320.11	106349.25	106304.49	106316.43	3600	0	42
2025.01.03	15:00:00	106316.46	106333.77	106294.60	106333.06	3600	0	42
2025.01.03	16:00:00	106333.09	106381.99	106298.06	106309.61	3600	0	42
2025.01.03	17:00:00	106309.64	106329.89	106252.77	106294.23	3600	0	42
2025.01.03	18:00:00	106294.26	106310.72	106236.45	106241.49	3600	0	42
2025.01.03	19:00:00	106241.52	106295.56	106241.52	106292.85	3600	0	42
2025.01.03	20:00:00	106292.88	106318.98	106251.35	106271.42	3600	0	42
2025.01.03	21:00:00	106271.45	106298.24	106231.96	106240.57	3600	0	42
