<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	106376.41	106426.90	106299.32	106322.21	14340	0	42
2025.01.01	04:00:00	106322.24	106427.45	106260.39	106284.78	14400	0	42
2025.01.01	08:00:00	106284.81	106373.05	106197.40	106218.38	14400	0	42
2025.01.01	12:00:00	106218.41	106378.21	106218.41	106371.55	14400	0	42
2025.01.01	16:00:00	106371.58	106378.00	106251.43	106269.52	14401	0	42
2025.01.01	20:00:00	106269.55	106456.41	106269.55	106456.41	14340	0	42
2025.01.02	00:00:00	106456.44	106489.05	106241.41	106242.61	14400	0	42
2025.01.02	04:00:00	106242.64	106379.55	106198.69	106314.57	14400	0	42
2025.01.02	08:00:00	106314.60	106435.63	106297.35	106414.72	14400	0	42
2025.01.02	12:00:00	106414.75	106519.93	106360.75	106462.47	14400	0	42
2025.01.02	16:00:00	106462.50	106562.63	106385.79	106467.00	14400	0	42
2025.01.02	20:00:00	106467.03	106598.03	106387.76	106406.57	14400	0	42
2025.01.03	00:00:00	106406.60	106543.68	106355.21	106478.32	14400	0	42
2025.01.03	04:00:00	106478.35	106514.86	106381.88	106512.98	14400	0	42
2025.01.03	08:00:00	106513.01	106544.60	106328.39	106354.82	14400	0	42
2025.01.03	12:00:00	106354.85	106360.19	106275.53	106333.06	14400	0	42
2025.01.03	16:00:00	106333.09	106381.99	106236.45	106292.85	14400	0	42
2025.01.03	20:00:00	106292.88	106363.57	106225.45	106310.86	14400	0	42
2025.01.04	00:00:00	106310.89	106526.58	106299.02	106524.48	14400	0	42
2025.01.04	04:00:00	106524.51	106548.37	106345.13	106398.72	14400	0	42
2025.01.04	08:00:00	106398.75	106403.64	106071.94	106077.91	14400	0	42
2025.01.04	12:00:00	106077.94	106123.51	106013.42	106083.91	14400	0	42
2025.01.04	16:00:00	106083.94	106222.55	106063.02	106089.56	14401	0	42
