<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	102309.52	102960.33	102045.34	102849.39	86281	0	64
2025.01.02	102849.43	103036.00	102639.93	102723.64	86400	0	64
2025.01.03	102723.68	103067.43	102607.22	102726.96	86400	0	64
2025.01.04	102727.00	103041.69	102507.55	103041.69	86401	0	64
2025.01.05	103041.73	103230.45	102807.29	102916.10	86217	0	64
2025.01.06	102916.14	103060.18	102642.84	102707.09	86278	0	64
2025.01.07	102707.13	103009.97	102379.15	102417.25	86401	0	64
2025.01.08	102417.29	102538.35	102013.63	102212.60	86400	0	64
2025.01.09	102212.64	102330.07	101725.31	102115.87	86400	0	64
2025.01.10	102115.91	103200.08	102097.98	103093.40	86401	0	64
2025.01.11	103093.44	103202.38	102267.46	102556.94	86400	0	64
2025.01.12	102556.98	103062.72	102501.35	102652.75	86186	0	64
2025.01.13	102652.79	103418.38	102652.79	103194.61	86396	0	64
2025.01.14	103194.65	103562.64	103081.72	103400.89	86401	0	64
2025.01.15	103400.93	103581.21	102784.99	102804.39	86398	0	64
2025.01.16	102804.43	103142.14	102622.92	103142.14	86400	0	64
2025.01.17	103142.18	103521.03	103041.21	103265.69	86401	0	64
2025.01.18	103265.73	103450.83	103032.28	103275.79	86376	0	64
2025.01.19	103275.83	103618.97	103163.43	103556.67	86335	0	64
2025.01.20	103556.71	103558.47	102996.90	103345.01	86278	0	64
2025.01.21	103345.05	103670.33	103275.62	103423.85	86401	0	64
2025.01.22	103423.89	103698.62	103107.48	103520.40	86400	0	64
2025.01.23	103520.44	103699.83	103052.33	103458.22	86400	0	64
2025.01.24	103458.26	103533.90	102659.44	103027.56	86401	0	64
2025.01.25	103027.60	103110.11	102688.03	102943.82	86381	0	64
2025.01.26	102943.86	102977.91	102448.68	102614.87	86335	0	64
2025.01.27	102614.91	103058.59	102510.53	102779.05	86232	0	64
2025.01.28	102779.09	102834.16	102198.54	102714.26	86297	0	64
2025.01.29	102714.30	103020.93	102499.04	102599.86	86400	0	64
2025.01.30	102599.90	103055.28	102551.44	103055.28	86400	0	64
2025.01.31	103055.32	103511.50	103055.32	103229.03	86401	0	64
2025.02.01	103229.07	103666.19	103101.84	103478.20	85766	0	64
